;Types
NOVA_MEMREF
NOVA_OP
NOVA_IO
NOVA_MATH
NOVA_PC
ECLIPSE_MEMREF
ECLIPSE_OP
ECLIPSE_PC
ECLIPSE_STACK
EAGLE_IO
EAGLE_PC
EAGLE_OP
EAGLE_MEMREF
EAGLE_STACK
EAGLE_FPU
;
;Formats
DERR_FMT
IMM_MODE_2_WORD_FMT
IMM_ONEACC_FMT
IO_FLAGS_DEV_FMT
IO_TEST_DEV_FMT
LNDO_4_WORD_FMT
NOACC_MODE_2_WORD_FMT
NOACC_MODE_3_WORD_FMT
NOACC_MODE_IMM_IND_3_WORD_FMT
NOACC_MODE_IND_2_WORD_E_FMT
NOACC_MODE_IND_2_WORD_X_FMT
NOACC_MODE_IND_3_WORD_FMT
NOACC_MODE_IND_3_WORD_XCALL_FMT
NOACC_MODE_IND_4_WORD_FMT
NOVA_DATA_IO_FMT
NOVA_NOACC_EFF_ADDR_FMT
NOVA_ONEACC_EFF_ADDR_FMT
NOVA_TWOACC_MULT_OP_FMT
ONEACC_IMM_2_WORD_FMT
ONEACC_IMMWD_2_WORD_FMT
ONEACC_IMM_3_WORD_FMT
ONEACC_IMMDWD_3_WORD_FMT
ONEACC_MODE_2_WORD_E_FMT
ONEACC_MODE_2_WORD_X_B_FMT
ONEACC_MODE_3_WORD_FMT
ONEACC_MODE_IND_2_WORD_E_FMT
ONEACC_MODE_IND_2_WORD_X_FMT
ONEACC_MODE_IND_3_WORD_FMT
ONEACC_1_WORD_FMT
UNIQUE_1_WORD_FMT
UNIQUE_2_WORD_FMT
SPLIT_8BIT_DISP_FMT
THREE_WORD_DO_FMT
TWOACC_1_WORD_FMT
TWOACC_IMM_2_WORD_FMT
WSKB_FMT
;
;Instructions
DSPA,0xc478,0xe4ff,2,ONEACC_MODE_IND_2_WORD_E_FMT,ECLIPSE_PC,1
DSZ,0x1800,0xf800,1,NOVA_NOACC_EFF_ADDR_FMT,NOVA_MEMREF,0
DSZTS,0xc7d9,0xffff,1,UNIQUE_1_WORD_FMT,EAGLE_PC,0
ECLID,0xffc8,0xffff,1,UNIQUE_1_WORD_FMT,EAGLE_IO,0
EDIT,0xf7a8,0xffff,1,UNIQUE_1_WORD_FMT,ECLIPSE_OP,0
EDSZ,0x9c38,0xfcff,2,NOACC_MODE_IND_2_WORD_E_FMT,ECLIPSE_PC,1
EISZ,0x9438,0xfcff,2,NOACC_MODE_IND_2_WORD_E_FMT,ECLIPSE_PC,1
EJMP,0x8438,0xfcff,2,NOACC_MODE_IND_2_WORD_E_FMT,ECLIPSE_PC,1
EJSR,0x8c38,0xfcff,2,NOACC_MODE_IND_2_WORD_E_FMT,ECLIPSE_PC,1
ELDA,0xa438,0xe4ff,2,ONEACC_MODE_IND_2_WORD_E_FMT,ECLIPSE_MEMREF,1
ELDB,0x8478,0xe4ff,2,ONEACC_MODE_IND_2_WORD_E_FMT,ECLIPSE_MEMREF,1
ELEF,0xe438,0xe4ff,2,ONEACC_MODE_IND_2_WORD_E_FMT,ECLIPSE_OP,1
ENQH,0xc7e9,0xffff,1,UNIQUE_1_WORD_FMT,EAGLE_OP,0
ENQT,0xc7f9,0xffff,1,UNIQUE_1_WORD_FMT,EAGLE_OP,0
ESTA,0xc438,0xe4ff,2,ONEACC_MODE_IND_2_WORD_E_FMT,ECLIPSE_OP,1
ESTB,0xa478,0xe4ff,2,ONEACC_MODE_2_WORD_E_FMT,ECLIPSE_OP,1
