;Types
NOVA_MEMREF
NOVA_OP
NOVA_IO
NOVA_MATH
NOVA_PC
ECLIPSE_MEMREF
ECLIPSE_OP
ECLIPSE_PC
ECLIPSE_STACK
EAGLE_IO
EAGLE_PC
EAGLE_OP
EAGLE_MEMREF
EAGLE_STACK
EAGLE_FPU
;
;Formats
DERR_FMT
IMM_MODE_2_WORD_FMT
IMM_ONEACC_FMT
IO_FLAGS_DEV_FMT
IO_TEST_DEV_FMT
LNDO_4_WORD_FMT
NOACC_MODE_2_WORD_FMT
NOACC_MODE_3_WORD_FMT
NOACC_MODE_IMM_IND_3_WORD_FMT
NOACC_MODE_IND_2_WORD_E_FMT
NOACC_MODE_IND_2_WORD_X_FMT
NOACC_MODE_IND_3_WORD_FMT
NOACC_MODE_IND_3_WORD_XCALL_FMT
NOACC_MODE_IND_4_WORD_FMT
NOVA_DATA_IO_FMT
NOVA_NOACC_EFF_ADDR_FMT
NOVA_ONEACC_EFF_ADDR_FMT
NOVA_TWOACC_MULT_OP_FMT
ONEACC_IMM_2_WORD_FMT
ONEACC_IMMWD_2_WORD_FMT
ONEACC_IMM_3_WORD_FMT
ONEACC_IMMDWD_3_WORD_FMT
ONEACC_MODE_2_WORD_E_FMT
ONEACC_MODE_2_WORD_X_B_FMT
ONEACC_MODE_3_WORD_FMT
ONEACC_MODE_IND_2_WORD_E_FMT
ONEACC_MODE_IND_2_WORD_X_FMT
ONEACC_MODE_IND_3_WORD_FMT
ONEACC_1_WORD_FMT
UNIQUE_1_WORD_FMT
UNIQUE_2_WORD_FMT
SPLIT_8BIT_DISP_FMT
THREE_WORD_DO_FMT
TWOACC_1_WORD_FMT
TWOACC_IMM_2_WORD_FMT
WSKB_FMT
;
;Instructions
SZBO,0x84c8,0x87ff,1,TWOACC_1_WORD_FMT,ECLIPSE_OP,0
WADC,0x8249,0x87ff,1,TWOACC_1_WORD_FMT,EAGLE_OP,0
WADD,0x8149,0x87ff,1,TWOACC_1_WORD_FMT,EAGLE_OP,0
WADDI,0x8689,0xe7ff,3,ONEACC_IMM_3_WORD_FMT,EAGLE_OP,0
WADI,0x84b9,0x87ff,1,IMM_ONEACC_FMT,EAGLE_OP,0
WANC,0x8549,0x87ff,1,TWOACC_1_WORD_FMT,EAGLE_OP,0
WAND,0x8449,0x87ff,1,TWOACC_1_WORD_FMT,EAGLE_OP,0
WANDI,0x8699,0xe7ff,3,ONEACC_IMMDWD_3_WORD_FMT,EAGLE_OP,0
WASH,0x8279,0x87ff,1,TWOACC_1_WORD_FMT,EAGLE_OP,0
WASHI,0xc6a9,0xe7ff,2,ONEACC_IMM_2_WORD_FMT,EAGLE_OP,0
WBLM,0xe749,0xffff,1,UNIQUE_1_WORD_FMT,EAGLE_MEMREF,0
WBR,0x8038,0x843f,1,SPLIT_8BIT_DISP_FMT,EAGLE_PC,0
WBTO,0x8299,0x87ff,1,TWOACC_1_WORD_FMT,EAGLE_MEMREF,0
WBTZ,0x82a9,0x87ff,1,TWOACC_1_WORD_FMT,EAGLE_MEMREF,0
WCLM,0x8569,0x87ff,1,TWOACC_1_WORD_FMT,EAGLE_PC,0
WCMP,0xa759,0xffff,1,UNIQUE_1_WORD_FMT,EAGLE_MEMREF,0
WCMV,0x8779,0xFFFF,1,UNIQUE_1_WORD_FMT,EAGLE_MEMREF,0
WCOM,0x8459,0x87ff,1,TWOACC_1_WORD_FMT,EAGLE_OP,0
WCST,0xe709,0xffff,1,UNIQUE_1_WORD_FMT,EAGLE_MEMREF,0
WCTR,0x8769,0xffff,1,UNIQUE_1_WORD_FMT,EAGLE_MEMREF,0
WDIVS,0xe769,0xffff,1,UNIQUE_1_WORD_FMT,EAGLE_OP,0
WFLAD,0x84a9,0x87ff,1,TWOACC_1_WORD_FMT,EAGLE_FPU,0
WFPOP,0xa789,0xffff,1,UNIQUE_1_WORD_FMT,EAGLE_STACK,0
WFPSH,0x87b9,0xffff,1,UNIQUE_1_WORD_FMT,EAGLE_STACK,0
WINC,0x8259,0x87ff,1,TWOACC_1_WORD_FMT,EAGLE_OP,0
WIOR,0x8469,0x87ff,1,TWOACC_1_WORD_FMT,EAGLE_OP,0
WIORI,0x86a9,0xe7ff,3,ONEACC_IMMDWD_3_WORD_FMT,EAGLE_OP,0
WLDAI,0xc689,0xe7ff,3,ONEACC_IMMDWD_3_WORD_FMT,EAGLE_OP,0
WLDB,0x8529,0x87ff,1,TWOACC_1_WORD_FMT,EAGLE_MEMREF,0
WLMP,0xa7f9,0xffff,1,UNIQUE_1_WORD_FMT,EAGLE_IO,0
WLSH,0x8559,0x87ff,1,TWOACC_1_WORD_FMT,EAGLE_OP,0
WLSHI,0xe6d9,0xe7ff,2,ONEACC_IMM_2_WORD_FMT,EAGLE_OP,0
WLSI,0x85b9,0x87ff,1,IMM_ONEACC_FMT,EAGLE_OP,0
WMOV,0x8379,0x87ff,1,TWOACC_1_WORD_FMT,EAGLE_OP,0
WMOVR,0xe699,0xe7ff,1,ONEACC_1_WORD_FMT,EAGLE_OP,0
WMSP,0xe649,0xe7ff,1,ONEACC_1_WORD_FMT,EAGLE_STACK,0
WMUL,0x8169,0x87ff,1,TWOACC_1_WORD_FMT,EAGLE_OP,0
WMULS,0xe759,0xffff,1,UNIQUE_1_WORD_FMT,EAGLE_OP,0
WNADI,0xe6f9,0xe7ff,2,ONEACC_IMM_2_WORD_FMT,EAGLE_OP,0
WNEG,0x8269,0x87ff,1,TWOACC_1_WORD_FMT,EAGLE_OP,0
WPOP,0x8089,0x87ff,1,TWOACC_1_WORD_FMT,EAGLE_STACK,0
WPOPJ,0x8789,0xFFFF,1,UNIQUE_1_WORD_FMT,EAGLE_PC,0
WPSH,0x8579,0x87ff,1,TWOACC_1_WORD_FMT,EAGLE_STACK,0
WRTN,0x87a9,0xffff,1,UNIQUE_1_WORD_FMT,EAGLE_PC,0
WSAVR,0xA729,0xFFFF,2,UNIQUE_2_WORD_FMT,EAGLE_STACK,0
WSAVS,0xA739,0xFFFF,2,UNIQUE_2_WORD_FMT,EAGLE_STACK,0
WSBI,0x8589,0x87ff,1,IMM_ONEACC_FMT,EAGLE_OP,0
WSEQ,0x80b9,0x87ff,1,TWOACC_1_WORD_FMT,EAGLE_PC,0
WSEQI,0xe6c9,0xe7ff,2,ONEACC_IMM_2_WORD_FMT,EAGLE_PC,0
WSGE,0x8199,0x87ff,1,TWOACC_1_WORD_FMT,EAGLE_PC,0
WSGT,0x81b9,0x87ff,1,TWOACC_1_WORD_FMT,EAGLE_PC,0
WSGTI,0xe689,0xe7ff,2,ONEACC_IMM_2_WORD_FMT,EAGLE_PC,0
WSKBO,0x8f49,0x8fcf,1,WSKB_FMT,EAGLE_PC,0
WSKBZ,0x8f89,0x8fcf,1,WSKB_FMT,EAGLE_PC,0
WSLE,0x81a9,0x87ff,1,TWOACC_1_WORD_FMT,EAGLE_PC,0
WSLEI,0xe6a9,0xe7ff,2,ONEACC_IMM_2_WORD_FMT,EAGLE_PC,0
WSLT,0x8289,0x87ff,1,TWOACC_1_WORD_FMT,EAGLE_PC,0
WSNB,0x8389,0x87ff,1,TWOACC_1_WORD_FMT,EAGLE_PC,0
WSNE,0x8189,0x87ff,1,TWOACC_1_WORD_FMT,EAGLE_PC,0
WSNEI,0xe6e9,0xe7ff,2,ONEACC_IMM_2_WORD_FMT,EAGLE_PC,0
WSSVR,0x8729,0xffff,2,UNIQUE_2_WORD_FMT,EAGLE_STACK,0
WSSVS,0x8739,0xffff,2,UNIQUE_2_WORD_FMT,EAGLE_STACK,0
WSTB,0x8539,0x87ff,1,TWOACC_1_WORD_FMT,EAGLE_MEMREF,0
WSTI,0xe6b9,0xe7ff,1,ONEACC_1_WORD_FMT,EAGLE_FPU,0
WSUB,0x8159,0x87ff,1,TWOACC_1_WORD_FMT,EAGLE_OP,0
WSZB,0x82b9,0x87ff,1,TWOACC_1_WORD_FMT,EAGLE_PC,0
WUSGT,0x80a9,0x87ff,1,TWOACC_1_WORD_FMT,EAGLE_PC,0
WUGTI,0xc699,0xe7ff,3,ONEACC_IMM_3_WORD_FMT,EAGLE_PC,0
WXCH,0x8369,0x87ff,1,TWOACC_1_WORD_FMT,EAGLE_OP,0
XCALL,0x8609,0xe7ff,3,NOACC_MODE_IND_3_WORD_XCALL_FMT,EAGLE_PC,1
XCH,0x81c8,0x87ff,1,TWOACC_1_WORD_FMT,ECLIPSE_OP,0
XCT,0xa6f8,0xe7ff,1,ONEACC_1_WORD_FMT,ECLIPSE_OP,0
XJMP,0xc609,0xe7ff,2,NOACC_MODE_IND_2_WORD_X_FMT,EAGLE_PC,1
XJSR,0xc619,0xe7ff,2,NOACC_MODE_IND_2_WORD_X_FMT,EAGLE_PC,1
XLDB,0x8419,0x87ff,2,ONEACC_MODE_2_WORD_X_B_FMT,EAGLE_MEMREF,1
XLEF,0x8409,0x87ff,2,ONEACC_MODE_IND_2_WORD_X_FMT,EAGLE_MEMREF,1
XLEFB,0x8439,0x87ff,2,ONEACC_MODE_2_WORD_X_B_FMT,EAGLE_MEMREF,1
XNADD,0x8018,0x87ff,2,ONEACC_MODE_IND_2_WORD_X_FMT,EAGLE_MEMREF,1
XNADI,0x8418,0x87ff,2,IMM_MODE_2_WORD_FMT,EAGLE_MEMREF,1
XNDO,0x8498,0x87ff,3,THREE_WORD_DO_FMT,EAGLE_PC,1
XNDSZ,0xa609,0xe7ff,2,NOACC_MODE_IND_2_WORD_X_FMT,EAGLE_PC,1
XNISZ,0x8639,0xe7ff,2,NOACC_MODE_IND_2_WORD_X_FMT,EAGLE_PC,1
XNLDA,0x8329,0x87ff,2,ONEACC_MODE_IND_2_WORD_X_FMT,EAGLE_MEMREF,1
XNSBI,0x8458,0x87ff,2,IMM_MODE_2_WORD_FMT,EAGLE_MEMREF,1
XNSTA,0x8339,0x87ff,2,ONEACC_MODE_IND_2_WORD_X_FMT,EAGLE_MEMREF,1
XNSUB,0x8058,0x87ff,2,ONEACC_MODE_IND_2_WORD_X_FMT,EAGLE_MEMREF,1
XOR,0x8148,0x87ff,1,TWOACC_1_WORD_FMT,ECLIPSE_OP,0
XORI,0xa7f8,0xe7ff,2,ONEACC_IMM_2_WORD_FMT,ECLIPSE_OP,0
XPEF,0x8629,0xe7ff,2,NOACC_MODE_IND_2_WORD_X_FMT,EAGLE_STACK,1
XPEFB,0xa629,0xe7ff,2,NOACC_MODE_2_WORD_FMT,EAGLE_STACK,1
XPSHJ,0x8619,0xe7ff,2,IMM_MODE_2_WORD_FMT,EAGLE_STACK,1
XSTB,0x8429,0x87ff,2,ONEACC_MODE_2_WORD_X_B_FMT,EAGLE_MEMREF,1
XWADD,0x8118,0x87ff,2,ONEACC_MODE_IND_2_WORD_X_FMT,EAGLE_MEMREF,1
XWADI,0x8518,0x87ff,2,IMM_MODE_2_WORD_FMT,EAGLE_MEMREF,1
XWDSZ,0xA639,0xe7FF,2,NOACC_MODE_IND_2_WORD_X_FMT,EAGLE_PC,1
XWISZ,0xa619,0xe7ff,2,NOACC_MODE_IND_2_WORD_X_FMT,EAGLE_PC,1
XWLDA,0x8309,0x87ff,2,ONEACC_MODE_IND_2_WORD_X_FMT,EAGLE_MEMREF,1
XWSBI,0x8558,0x87ff,2,IMM_MODE_2_WORD_FMT,EAGLE_OP,1
XWSTA,0x8319,0x87ff,2,ONEACC_MODE_IND_2_WORD_X_FMT,EAGLE_MEMREF,1
XWSUB,0x8158,0x87ff,2,ONEACC_MODE_IND_2_WORD_X_FMT,EAGLE_OP,1
ZEX,0x8359,0x87ff,1,TWOACC_1_WORD_FMT,EAGLE_OP,0
;
